Date,Open,High,Low,Close,Adj Close,Volume
2018-10-09,136.529999,139.479996,136.440002,137.679993,137.679993,14
2018-10-10,137.119995,137.820007,133.820007,134.419998,134.419998,85
2018-10-11,127.000000,132.240005,126.000000,132.240005,132.240005,502
2018-10-12,134.509995,135.210007,131.779999,131.779999,131.779999,0
2018-10-15,133.839996,133.919998,131.570007,133.410004,133.410004,17
2018-10-16,132.770004,135.419998,132.770004,135.419998,135.419998,0
2018-10-17,138.039993,138.369995,137.699997,137.720001,137.720001,120
2018-10-18,137.800003,138.449997,135.300003,135.300003,135.300003,37
2018-10-19,134.720001,136.309998,134.399994,134.399994,134.399994,100
2018-10-22,133.630005,135.419998,133.630005,135.419998,135.419998,0
2018-10-23,133.750000,133.750000,132.220001,133.309998,133.309998,100
2018-10-24,134.309998,135.199997,132.100006,132.100006,132.100006,0
2018-10-25,128.330002,131.600006,128.330002,131.600006,131.600006,26
2018-10-26,130.009995,130.009995,127.330002,127.910004,127.910004,0
2018-10-29,129.089996,130.369995,126.510002,126.510002,126.510002,487
2018-10-30,125.309998,126.000000,123.000000,125.029999,125.029999,190
2018-10-31,133.490005,136.580002,131.529999,134.699997,134.699997,95
2018-11-01,133.570007,134.470001,131.270004,132.679993,132.679993,3
2018-11-02,133.000000,133.820007,131.630005,131.630005,131.630005,20
2018-11-05,131.309998,132.369995,129.720001,130.050003,130.050003,102
2018-11-06,130.160004,130.839996,129.630005,130.839996,130.839996,3
2018-11-07,130.720001,133.070007,130.720001,130.949997,130.949997,38
2018-11-08,132.770004,132.770004,128.770004,129.410004,129.410004,26
2018-11-09,130.000000,130.000000,128.119995,128.119995,128.119995,0
2018-11-12,127.000000,129.009995,125.360001,125.360001,125.360001,295
2018-11-13,125.830002,127.739998,125.830002,127.099998,127.099998,0
2018-11-14,126.070000,126.900002,125.220001,126.739998,126.739998,0
2018-11-15,126.000000,127.010002,125.089996,125.639999,125.639999,62
2018-11-16,125.800003,125.800003,120.639999,120.639999,120.639999,95
2018-11-19,121.099998,122.180000,115.830002,115.860001,115.860001,906
2018-11-20,113.209999,117.300003,112.110001,116.129997,116.129997,486
2018-11-21,116.059998,119.279999,116.059998,119.160004,119.160004,35
2018-11-22,118.269997,118.269997,116.099998,116.099998,116.099998,0
2018-11-23,116.309998,118.080002,115.989998,115.989998,115.989998,0
2018-11-26,116.300003,119.910004,116.300003,119.599998,119.599998,3
2018-11-27,119.620003,120.389999,119.370003,119.489998,119.489998,20
2018-11-28,119.580002,121.019997,117.150002,118.190002,118.190002,0
2018-11-29,119.040001,121.000000,119.040001,121.000000,121.000000,60
2018-11-30,122.010002,123.699997,121.029999,123.180000,123.180000,30
2018-12-03,125.510002,127.519997,125.510002,126.080002,126.080002,0
2018-12-04,122.760002,125.370003,122.760002,124.000000,124.000000,1
2018-12-05,122.010002,122.209999,121.209999,121.709999,121.709999,0
2018-12-06,119.019997,120.849998,116.919998,120.849998,120.849998,38
2018-12-07,122.160004,122.300003,121.000000,121.000000,121.000000,15
2018-12-10,119.830002,122.559998,119.730003,122.199997,122.199997,254
2018-12-11,123.959999,126.370003,123.959999,125.860001,125.860001,0
2018-12-12,126.059998,128.669998,126.000000,128.669998,128.669998,40
2018-12-13,127.150002,128.389999,126.300003,126.690002,126.690002,8
2018-12-14,126.360001,128.119995,126.050003,128.119995,128.119995,4
2018-12-17,127.290001,127.290001,126.379997,127.120003,127.120003,0
2018-12-18,123.669998,128.029999,123.559998,128.029999,128.029999,55
2018-12-19,125.639999,125.650002,121.449997,121.449997,121.449997,50
2018-12-20,115.110001,117.080002,114.029999,116.139999,116.139999,426
2018-12-21,116.360001,116.570000,110.389999,110.389999,110.389999,49
2018-12-27,116.209999,116.230003,114.370003,114.370003,114.370003,0
2018-12-28,116.400002,118.470001,116.400002,118.050003,118.050003,0
2019-01-02,111.349998,119.760002,111.349998,119.169998,119.169998,115
2019-01-03,116.639999,118.629997,116.410004,116.410004,116.410004,3
2019-01-04,115.410004,120.320000,115.410004,120.139999,120.139999,25
2019-01-07,121.169998,121.169998,118.779999,120.349998,120.349998,19
2019-01-08,120.370003,124.260002,120.370003,124.260002,124.260002,20
2019-01-09,124.879997,125.360001,124.059998,125.150002,125.150002,0
2019-01-10,123.830002,124.699997,123.250000,124.699997,124.699997,0
2019-01-11,124.669998,125.900002,124.300003,125.900002,125.900002,0
2019-01-14,123.970001,125.720001,123.680000,125.330002,125.330002,10
2019-01-15,127.470001,131.630005,127.239998,131.630005,131.630005,1
2019-01-16,130.610001,130.820007,129.089996,129.089996,129.089996,10
2019-01-17,128.809998,130.580002,128.300003,130.070007,130.070007,7
2019-01-18,130.000000,133.399994,130.000000,133.399994,133.399994,22
2019-01-21,131.839996,131.839996,130.910004,130.910004,130.910004,0
2019-01-22,131.320007,132.399994,130.649994,131.869995,131.869995,15
2019-01-23,129.619995,130.779999,126.690002,126.690002,126.690002,15
2019-01-24,126.430000,128.639999,126.430000,127.699997,127.699997,0
2019-01-25,128.500000,130.880005,128.500000,130.880005,130.880005,0
2019-01-28,130.070007,130.259995,128.440002,128.440002,128.440002,40
2019-01-29,128.050003,129.639999,125.800003,126.169998,126.169998,0
2019-01-30,126.110001,129.639999,126.110001,129.639999,129.639999,400
2019-01-31,145.300003,148.330002,144.500000,146.110001,146.110001,259
2019-02-01,145.160004,147.160004,144.520004,144.679993,144.679993,43
2019-02-04,144.990005,146.960007,144.449997,146.600006,146.600006,40
2019-02-05,148.000000,149.990005,147.380005,148.979996,148.979996,47
2019-02-06,149.660004,150.369995,148.869995,148.869995,148.869995,10
2019-02-07,149.309998,149.309998,146.270004,146.270004,146.270004,5
2019-02-08,146.279999,146.279999,144.960007,145.940002,145.940002,30
2019-02-11,147.130005,148.949997,147.130005,147.460007,147.460007,10
2019-02-12,147.449997,148.039993,147.000000,147.000000,147.000000,0
2019-02-13,146.009995,147.119995,146.009995,146.449997,146.449997,0
2019-02-14,144.869995,146.669998,144.229996,145.660004,145.660004,0
2019-02-15,143.880005,145.869995,143.070007,143.070007,143.070007,264
2019-02-18,143.539993,143.580002,142.919998,143.000000,143.000000,30
2019-02-19,142.889999,144.220001,142.309998,143.910004,143.910004,0
2019-02-20,142.619995,143.570007,142.089996,142.089996,142.089996,0
2019-02-21,143.110001,143.710007,141.050003,141.690002,141.690002,21
2019-02-22,141.210007,142.649994,141.210007,142.520004,142.520004,10
2019-02-25,142.369995,145.740005,142.369995,145.270004,145.270004,24
2019-02-26,144.009995,145.490005,144.009995,144.419998,144.419998,0
2019-02-27,143.639999,143.649994,141.309998,142.860001,142.860001,0
2019-02-28,142.630005,142.630005,141.860001,141.860001,141.860001,0
2019-03-01,142.039993,142.949997,142.039993,142.229996,142.229996,0
2019-03-04,142.559998,145.809998,142.559998,144.929993,144.929993,45
